,critic_update,seed,utility,bs_utility,PnL_0,PnL_1,PnL_2,PnL_3,PnL_4,PnL_5,PnL_6,PnL_7,PnL_8,PnL_9,PnL_10,PnL_11,PnL_12,PnL_13,PnL_14,PnL_15
0,vanilla,2980840230,-4.474591255187988,-4.415065765380859,-6.7598876953125,-2.0194664001464844,-2.8017311096191406,-2.5751724243164062,-6.24383544921875,-1.96185302734375,-1.6960468292236328,-4.520829200744629,-6.511558532714844,-5.756734848022461,-8.070914268493652,-3.3350067138671875,-5.891530990600586,-4.210821151733398,-2.5503597259521484,-3.593046188354492
1,vanilla,2468570955,-4.312445640563965,-4.415065765380859,-6.874603271484375,-2.1899681091308594,-2.9650955200195312,-1.4705314636230469,-7.361919403076172,-1.4673805236816406,-3.5841712951660156,-5.182460784912109,-6.543769836425781,-5.644351959228516,-8.484397888183594,-1.2111473083496094,-3.826559066772461,-3.5698165893554688,-2.3278884887695312,-2.0626792907714844
2,vanilla,3107862872,-4.063659191131592,-4.415065765380859,-8.552558898925781,-1.5906257629394531,-1.1903266906738281,-1.6758842468261719,-5.850780487060547,-0.8979682922363281,-0.8549156188964844,-6.861845016479492,-4.507957458496094,-6.983119964599609,-8.241598129272461,0.581756591796875,-3.8543167114257812,-3.045154571533203,-1.0252418518066406,-3.9634342193603516
3,expected,1873257998,-4.19321870803833,-4.415065765380859,-14.325492858886719,1.5011825561523438,2.3407669067382812,-2.567169189453125,-8.107566833496094,-1.7375106811523438,0.4347648620605469,-4.264596939086914,-8.415771484375,-4.133827209472656,-3.9449119567871094,-1.6876373291015625,-1.1090946197509766,-2.8807945251464844,0.40006256103515625,-3.0816192626953125
4,expected,2400283990,-4.272980690002441,-4.415065765380859,-15.382423400878906,1.9070816040039062,2.3639144897460938,-3.0752029418945312,-8.340133666992188,-2.3122024536132812,1.0153579711914062,-4.1892852783203125,-9.325775146484375,-2.499814987182617,-2.5256528854370117,-2.4233436584472656,-0.4171791076660156,-1.618896484375,0.4660167694091797,-3.012958526611328
5,expected,267933897,-4.375725746154785,-4.415065765380859,-15.052230834960938,0.6888484954833984,1.4918556213378906,-2.4378738403320312,-9.120887756347656,-1.8504447937011719,0.7593116760253906,-4.979015350341797,-8.397926330566406,-2.7526683807373047,-2.8260326385498047,-4.259712219238281,0.05179595947265625,-1.8188304901123047,0.6898422241210938,-2.8065834045410156
6,distributional,3878154799,-3.875169277191162,-4.415065765380859,-13.666343688964844,1.2124099731445312,2.219757080078125,-1.7429847717285156,-7.821922302246094,-1.7233200073242188,1.2826080322265625,-5.446075439453125,-8.043155670166016,-3.606752395629883,-3.07235050201416,-2.8293075561523438,0.36811065673828125,-1.7098808288574219,0.6394996643066406,-3.0112667083740234
7,distributional,3215051902,-4.2582268714904785,-4.415065765380859,-13.400222778320312,3.0146446228027344,1.88897705078125,-2.1087570190429688,-8.508430480957031,-2.7846336364746094,1.1883087158203125,-5.31281852722168,-9.475173950195312,-2.8807334899902344,-5.485874176025391,-2.0785598754882812,-2.4674148559570312,-1.8678359985351562,0.3750762939453125,-2.599872589111328
8,distributional,161099832,-4.07921838760376,-4.415065765380859,-15.045051574707031,1.5897178649902344,3.131683349609375,-3.0497779846191406,-8.700332641601562,-2.5808639526367188,0.9867362976074219,-4.4047393798828125,-8.053581237792969,-2.666799545288086,-1.8008460998535156,-3.3618011474609375,1.7898635864257812,-1.365793228149414,-0.10850143432617188,-2.9419116973876953
