,critic_update,seed,utility,bs_utility,PnL_0,PnL_1,PnL_2,PnL_3,PnL_4,PnL_5,PnL_6,PnL_7,PnL_8,PnL_9,PnL_10,PnL_11,PnL_12,PnL_13,PnL_14,PnL_15
0,vanilla,3007081222,-3.343451499938965,-3.090498685836792,-6.705558776855469,-1.9909095764160156,-2.3756465911865234,-1.2256584167480469,-6.065430641174316,-0.22951412200927734,-1.847555160522461,-3.444869041442871,-4.860439300537109,-3.9384765625,-5.84415340423584,-0.6316070556640625,-3.993518829345703,-2.063601493835449,-2.8724420070648193,-2.5173797607421875
1,vanilla,4150151047,-3.0671515464782715,-3.090498685836792,-6.178070068359375,-1.2935619354248047,-1.2270240783691406,-1.6226558685302734,-4.752830505371094,-1.4364948272705078,-1.9423418045043945,-2.711702346801758,-4.146335601806641,-3.6355743408203125,-5.066693305969238,-0.6142730712890625,-4.512220859527588,-2.530097484588623,-2.910808563232422,-2.495136260986328
2,vanilla,561024990,-3.242518901824951,-3.090498685836792,-5.996086120605469,-0.7413825988769531,-1.3720283508300781,-1.1534042358398438,-4.996219635009766,-1.1134757995605469,-1.4334869384765625,-3.7538814544677734,-3.8603363037109375,-4.66552734375,-6.971965789794922,-0.4073371887207031,-4.184364318847656,-2.4506521224975586,-2.814668655395508,-2.9788856506347656
3,expected,2655664254,-2.845381736755371,-3.090498685836792,-11.172119140625,0.5142593383789062,0.9184951782226562,-1.2039012908935547,-5.124706268310547,-1.7847404479980469,-0.44220924377441406,-3.3309717178344727,-5.050773620605469,-1.430715560913086,-2.429149627685547,-1.7660274505615234,-0.5556187629699707,-1.8183221817016602,-0.583343505859375,-2.768998622894287
4,expected,2783584603,-2.9849884510040283,-3.090498685836792,-11.503597259521484,0.5321416854858398,1.096780776977539,-0.11329460144042969,-5.656402587890625,-0.3557395935058594,-0.7691307067871094,-3.3260810375213623,-5.041126251220703,-2.3082408905029297,-3.6218185424804688,-0.5245895385742188,-1.0853691101074219,-2.6588239669799805,-0.9580726623535156,-3.028676986694336
5,expected,4269260147,-2.9417052268981934,-3.090498685836792,-9.577613830566406,-0.16352081298828125,0.9324626922607422,-2.7902145385742188,-5.711986541748047,-1.8537883758544922,-1.0704669952392578,-3.6345791816711426,-3.641704559326172,-2.0676937103271484,-2.164780616760254,-3.1043968200683594,-0.3729228973388672,-2.677896499633789,-1.1769094467163086,-2.978851795196533
6,distributional,550553097,-2.790957450866699,-3.090498685836792,-9.561897277832031,1.5649566650390625,1.0661087036132812,-1.3440542221069336,-4.810283660888672,-1.0606307983398438,-0.43110084533691406,-4.614902496337891,-3.4792327880859375,-2.5848350524902344,-1.9125823974609375,-3.035318374633789,0.4055156707763672,-3.0654144287109375,-1.0710210800170898,-4.591128826141357
7,distributional,1367318865,-3.107874631881714,-3.090498685836792,-11.240829467773438,0.3205842971801758,0.5716571807861328,-2.3277015686035156,-5.741935729980469,-2.013080596923828,-1.0450210571289062,-3.658102035522461,-3.8310699462890625,-1.5324316024780273,-2.3600010871887207,-2.5607776641845703,-0.4924769401550293,-2.1561946868896484,-1.7000861167907715,-3.090869426727295
8,distributional,2499673988,-2.8713533878326416,-3.090498685836792,-9.924591064453125,0.17673110961914062,1.9683380126953125,-2.5702342987060547,-5.4819488525390625,-1.7368183135986328,-0.5791950225830078,-3.708733081817627,-4.077884674072266,-1.8581264019012451,-1.882197380065918,-2.5075855255126953,-0.3963749408721924,-2.7148756980895996,-1.0581345558166504,-3.6098735332489014
