,critic_update,seed,utility,bs_utility,PnL_0,PnL_1,PnL_2,PnL_3,PnL_4,PnL_5,PnL_6,PnL_7,PnL_8,PnL_9,PnL_10,PnL_11,PnL_12,PnL_13,PnL_14,PnL_15
0,vanilla,1295890448,-7.223928451538086,-7.513722896575928,-13.077247619628906,-5.847770690917969,-4.212123870849609,-4.58343505859375,-9.839988708496094,-4.5133056640625,-5.387912750244141,-6.047815322875977,-10.535125732421875,-8.912425994873047,-11.66241455078125,-4.688629150390625,-4.299106597900391,-5.4032745361328125,-4.248065948486328,-5.0972442626953125
1,vanilla,623440079,-7.366209030151367,-7.513722896575928,-10.464981079101562,-5.626716613769531,-4.369682312011719,-4.7413177490234375,-10.462142944335938,-4.969539642333984,-5.362361907958984,-8.572036743164062,-8.670814514160156,-8.978923797607422,-10.686397552490234,-6.5416717529296875,-6.79365348815918,-8.063562393188477,-5.339935302734375,-4.187690734863281
2,vanilla,2035691052,-7.272190093994141,-7.513722896575928,-11.485832214355469,-5.907581329345703,-4.7397918701171875,-6.649822235107422,-9.338729858398438,-5.648105621337891,-5.985740661621094,-8.339981079101562,-8.375984191894531,-9.196418762207031,-10.411430358886719,-5.997673034667969,-5.182563781738281,-5.219577789306641,-5.590412139892578,-4.617950439453125
3,expected,1776499889,-7.782355308532715,-7.513722896575928,-19.745765686035156,-2.3185348510742188,-1.8774871826171875,-6.881584167480469,-14.007957458496094,-7.1203765869140625,-3.5129356384277344,-5.3281097412109375,-13.478981018066406,-3.942554473876953,-4.747894287109375,-8.154060363769531,0.12415313720703125,-0.5499839782714844,-4.088584899902344,-1.9068946838378906
4,expected,1189185057,-7.301450729370117,-7.513722896575928,-17.68427276611328,-3.0530014038085938,-2.3768997192382812,-6.487323760986328,-12.112190246582031,-5.805896759033203,-3.5777053833007812,-5.815656661987305,-13.323806762695312,-4.742149353027344,-5.340812683105469,-6.946224212646484,-0.7327232360839844,-3.1121578216552734,-3.7204856872558594,-3.6805667877197266
5,expected,2441524775,-7.523868083953857,-7.513722896575928,-17.741065979003906,-3.8699378967285156,-3.8580398559570312,-7.444499969482422,-12.396240234375,-6.0314788818359375,-2.7862091064453125,-6.385528564453125,-13.56427001953125,-4.927913665771484,-7.597740173339844,-6.397510528564453,-1.555572509765625,-0.8879470825195312,-2.184398651123047,-3.7418251037597656
6,distributional,134117753,-7.384771347045898,-7.513722896575928,-16.405296325683594,-5.563558578491211,-2.4029083251953125,-5.338014602661133,-12.798776626586914,-6.181797027587891,-3.2697792053222656,-6.508115768432617,-12.370530128479004,-5.300148010253906,-6.9523162841796875,-4.900885581970215,-2.2637195587158203,-5.148992538452148,-4.579811096191406,-4.444721221923828
7,distributional,1498164396,-7.616890907287598,-7.513722896575928,-18.417682647705078,-2.78570556640625,-2.77801513671875,-5.3883514404296875,-13.9983491897583,-4.905263900756836,-3.7879390716552734,-7.460292816162109,-12.728260040283203,-6.12823486328125,-5.924304962158203,-7.723003387451172,0.2583808898925781,-1.9588546752929688,-3.3910369873046875,-3.1189193725585938
8,distributional,2057014442,-7.540493488311768,-7.513722896575928,-19.3092041015625,-3.371002197265625,-2.0207595825195312,-7.359409332275391,-13.115150451660156,-5.438997268676758,-3.7553558349609375,-5.936153411865234,-12.926036834716797,-3.7281723022460938,-4.130470275878906,-7.880367279052734,0.6482009887695312,-1.4025840759277344,-3.6632843017578125,-3.116792678833008
