,critic_update,seed,utility,bs_utility,PnL_0,PnL_1,PnL_2,PnL_3,PnL_4,PnL_5,PnL_6,PnL_7,PnL_8,PnL_9,PnL_10,PnL_11,PnL_12,PnL_13,PnL_14,PnL_15
0,vanilla,4281868934,-4.7381181716918945,-4.836080551147461,-10.215499877929688,-1.6322708129882812,-2.5041942596435547,-0.7101840972900391,-8.817577362060547,-0.4621448516845703,-1.6248283386230469,-5.094853401184082,-7.966712951660156,-5.776628494262695,-7.2473955154418945,-0.7463645935058594,-4.491878509521484,-3.7398948669433594,-2.7860870361328125,-4.686623573303223
1,vanilla,4030196172,-4.639142990112305,-4.836080551147461,-7.4428253173828125,-2.0834426879882812,-2.1801605224609375,-1.6526527404785156,-6.4804534912109375,-1.3724136352539062,-1.8482284545898438,-5.612360000610352,-7.10211181640625,-6.403352737426758,-8.774009704589844,-1.5540390014648438,-6.237482070922852,-3.96051025390625,-3.0441246032714844,-3.7704238891601562
2,vanilla,1888259215,-4.703830718994141,-4.836080551147461,-9.063323974609375,-1.4847373962402344,-1.8122367858886719,-1.4009056091308594,-7.474281311035156,-1.3110466003417969,-1.61260986328125,-5.231039047241211,-7.334033966064453,-5.65553092956543,-8.589112281799316,-1.6378898620605469,-5.053943634033203,-4.141183853149414,-3.651334762573242,-4.180210113525391
3,expected,3784581555,-4.677125930786133,-4.836080551147461,-14.426753997802734,0.2949848175048828,0.680267333984375,-2.2329635620117188,-9.772514343261719,-1.3012161254882812,-0.7635650634765625,-4.2643280029296875,-9.123756408691406,-2.655320167541504,-3.0786423683166504,-3.9441299438476562,-1.7645807266235352,-2.9985103607177734,-1.5473690032958984,-3.3535518646240234
4,expected,398332362,-4.667558670043945,-4.836080551147461,-14.447029113769531,1.1342506408691406,1.2887763977050781,-1.7436981201171875,-9.363319396972656,-1.6968994140625,-0.5776443481445312,-5.071872711181641,-8.556835174560547,-4.326564788818359,-4.863161087036133,-2.4446334838867188,-1.1126708984375,-3.354495048522949,-1.0761146545410156,-3.583524703979492
5,expected,555401847,-4.780658721923828,-4.836080551147461,-16.094558715820312,0.74774169921875,0.4640998840332031,-2.649890899658203,-9.466552734375,-2.0776634216308594,-0.11112213134765625,-3.941671371459961,-10.479183197021484,-2.2042970657348633,-3.1733522415161133,-2.3110885620117188,-0.6685113906860352,-2.027841567993164,0.16874313354492188,-2.6987838745117188
6,distributional,2551650142,-4.602575302124023,-4.836080551147461,-13.844720840454102,-0.30263519287109375,-0.3863639831542969,-1.9682483673095703,-9.072144508361816,-1.4585285186767578,-0.5878257751464844,-5.223836898803711,-8.280323028564453,-3.7339725494384766,-5.983175277709961,-2.980072021484375,-0.969573974609375,-2.6700305938720703,-0.5131855010986328,-2.7922401428222656
7,distributional,2513214051,-4.423847675323486,-4.836080551147461,-13.208038330078125,0.5286941528320312,1.4225234985351562,-1.7756614685058594,-9.133220672607422,-1.3500537872314453,-0.19733428955078125,-4.761936187744141,-8.999176025390625,-3.5642127990722656,-4.7917633056640625,-2.2478866577148438,-2.4424381256103516,-3.11444091796875,-0.8106842041015625,-3.35101318359375
8,distributional,3133990731,-4.507625579833984,-4.836080551147461,-14.895606994628906,0.7532463073730469,1.2901496887207031,-0.8262863159179688,-8.927284240722656,-0.5666313171386719,-0.08243560791015625,-5.422250747680664,-9.385913848876953,-2.801595687866211,-4.227653503417969,-1.963998794555664,-0.6238784790039062,-2.6060733795166016,-1.3596649169921875,-3.5460166931152344
