,critic_update,seed,utility,bs_utility,PnL_0,PnL_1,PnL_2,PnL_3,PnL_4,PnL_5,PnL_6,PnL_7,PnL_8,PnL_9,PnL_10,PnL_11,PnL_12,PnL_13,PnL_14,PnL_15
0,vanilla,1327560560,-3.122523784637451,-2.7684686183929443,-5.236385345458984,-1.7672615051269531,-1.4397602081298828,-2.03326416015625,-4.017707824707031,-2.490375518798828,-1.77484130859375,-3.701333999633789,-4.723255157470703,-4.386039733886719,-4.996279716491699,-2.093902587890625,-3.233372688293457,-3.0291972160339355,-1.6887421607971191,-2.053889513015747
1,vanilla,1307767281,-2.794098377227783,-2.7684686183929443,-4.8863067626953125,-0.7703132629394531,-0.758880615234375,-2.15478515625,-3.859203338623047,-2.137554168701172,-1.6640682220458984,-3.695528030395508,-2.734050750732422,-4.133457183837891,-5.350246429443359,-1.2019577026367188,-3.3883743286132812,-2.510721206665039,-1.9069480895996094,-2.0732975006103516
2,vanilla,3081439808,-2.874626874923706,-2.7684686183929443,-5.620368957519531,-1.5166282653808594,-2.122163772583008,-1.4410972595214844,-2.99127197265625,-2.4006080627441406,-0.8133354187011719,-4.459863662719727,-3.0670242309570312,-4.166635513305664,-5.070189476013184,-0.9878044128417969,-3.6549835205078125,-2.265176773071289,-1.3464183807373047,-2.4127845764160156
3,expected,3593294047,-2.7702841758728027,-2.7684686183929443,-12.025100708007812,0.3124866485595703,1.0198402404785156,-1.0426673889160156,-5.478538513183594,-0.9309806823730469,0.1427288055419922,-3.2344112396240234,-6.036571502685547,-1.0383541584014893,-1.3140406608581543,-2.0993576049804688,0.6289939880371094,-0.5931816101074219,-0.45398521423339844,-2.17512583732605
4,expected,2504117770,-2.6585471630096436,-2.7684686183929443,-9.650856018066406,1.4663105010986328,0.9472408294677734,-0.9828701019287109,-5.490062713623047,-0.5709342956542969,-0.76385498046875,-3.5419907569885254,-2.6496734619140625,-1.7323122024536133,-3.016263961791992,-2.253772735595703,-1.3138618469238281,-2.7468037605285645,-1.0346565246582031,-3.461327075958252
5,expected,4244424418,-2.6327686309814453,-2.7684686183929443,-9.074844360351562,0.6793651580810547,2.071096420288086,-2.7736434936523438,-4.3065338134765625,-2.1001930236816406,-0.22721290588378906,-3.9906370639801025,-2.9703216552734375,-1.168353796005249,-1.4452476501464844,-3.9129180908203125,-0.33443164825439453,-2.5099239349365234,-0.8527488708496094,-3.8943142890930176
6,distributional,1013705573,-2.5707828998565674,-2.7684686183929443,-10.196990966796875,1.0257835388183594,2.0502796173095703,-2.4804306030273438,-4.605720520019531,-1.6983833312988281,0.18593215942382812,-2.819873571395874,-4.118011474609375,-1.5724906921386719,-1.1737136840820312,-3.445537567138672,-0.014975547790527344,-2.0639007091522217,-0.6994600296020508,-2.799025774002075
7,distributional,580205303,-2.650912284851074,-2.7684686183929443,-10.095512390136719,0.7190876007080078,1.5366268157958984,-2.7704544067382812,-4.253349304199219,-2.1503677368164062,-0.23270034790039062,-3.2522077560424805,-3.9251556396484375,-2.2997894287109375,-2.734651565551758,-3.1425132751464844,0.041568756103515625,-1.6700439453125,-0.5275211334228516,-1.5900077819824219
8,distributional,4249105090,-2.7144012451171875,-2.7684686183929443,-9.872894287109375,1.8586368560791016,1.3239173889160156,-1.4761028289794922,-5.528331756591797,-1.7039947509765625,-0.9510593414306641,-3.3996787071228027,-3.3218154907226562,-1.3029184341430664,-2.3883204460144043,-2.146413803100586,-1.1748590469360352,-2.2508316040039062,-1.936187744140625,-3.2102620601654053
