,critic_update,seed,utility,bs_utility,PnL_0,PnL_1,PnL_2,PnL_3,PnL_4,PnL_5,PnL_6,PnL_7,PnL_8,PnL_9,PnL_10,PnL_11,PnL_12,PnL_13,PnL_14,PnL_15
0,vanilla,2448734646,-7.599893569946289,-7.996185302734375,-11.567703247070312,-5.580162048339844,-5.735862731933594,-6.064735412597656,-10.228599548339844,-5.746269226074219,-6.458194732666016,-7.221706390380859,-9.925071716308594,-7.623308181762695,-10.172746658325195,-5.960857391357422,-5.94873046875,-5.067890167236328,-8.455902099609375,-6.56778621673584
1,vanilla,348376058,-7.467933177947998,-7.996185302734375,-12.827083587646484,-6.460166931152344,-6.241504669189453,-5.665193557739258,-10.01092529296875,-4.7512969970703125,-4.648460388183594,-8.34112548828125,-10.386039733886719,-8.04067611694336,-10.424760818481445,-4.786190032958984,-6.4590301513671875,-5.892734527587891,-4.687187194824219,-4.562519073486328
2,vanilla,1419667174,-7.768975257873535,-7.996185302734375,-11.697761535644531,-5.563816070556641,-5.917400360107422,-6.053913116455078,-10.372856140136719,-5.497367858886719,-6.3916473388671875,-8.138065338134766,-9.170852661132812,-8.102027893066406,-11.524349212646484,-6.190345764160156,-6.577953338623047,-5.837873458862305,-7.942342758178711,-5.740961074829102
3,expected,1824290489,-8.030876159667969,-7.996185302734375,-17.68398666381836,-4.5181884765625,-2.8562583923339844,-5.127300262451172,-14.926767349243164,-5.606304168701172,-5.443310737609863,-5.4116058349609375,-13.562865257263184,-5.945619583129883,-6.509366989135742,-6.077718734741211,-4.615987777709961,-3.7390403747558594,-5.963920593261719,-2.928668975830078
4,expected,4272408077,-7.517053604125977,-7.996185302734375,-16.65361785888672,-3.9940872192382812,-2.5942459106445312,-5.9667205810546875,-12.501922607421875,-6.272373199462891,-4.309814453125,-7.077663421630859,-11.689559936523438,-6.8161163330078125,-7.696632385253906,-5.448945999145508,-0.7274818420410156,-3.701946258544922,-6.426052093505859,-4.720693588256836
5,expected,1398375548,-7.785447120666504,-7.996185302734375,-17.106929779052734,-4.419034957885742,-4.645072937011719,-4.917490005493164,-12.890061378479004,-4.181499481201172,-5.62293815612793,-6.619218826293945,-13.045258522033691,-4.887935638427734,-8.314517974853516,-7.152036666870117,-3.279033660888672,-2.433551788330078,-5.679039001464844,-4.766796112060547
6,distributional,3818513658,-7.736039161682129,-7.996185302734375,-16.9793758392334,-5.671596527099609,-5.712279319763184,-3.444173812866211,-13.78834342956543,-3.559785842895508,-6.624782562255859,-5.672885894775391,-10.732738494873047,-6.230993270874023,-7.16364860534668,-6.3932647705078125,-3.2168426513671875,-5.888622283935547,-5.541133880615234,-4.180339813232422
7,distributional,3667969190,-7.655864238739014,-7.996185302734375,-15.863317489624023,-5.9337921142578125,-2.622955322265625,-5.963993072509766,-14.961784362792969,-7.221624374389648,-4.134468078613281,-5.110008239746094,-9.928565979003906,-5.938190460205078,-8.260738372802734,-7.182472229003906,-2.722442626953125,-4.500757217407227,-4.961330413818359,-4.197418212890625
8,distributional,3851442698,-7.900071620941162,-7.996185302734375,-17.05233383178711,-5.795864105224609,-4.622692108154297,-5.055379867553711,-12.34743881225586,-4.448163986206055,-3.8489341735839844,-6.072793960571289,-12.765854835510254,-6.992694854736328,-7.785297393798828,-4.828987121582031,-4.623619079589844,-5.811222076416016,-5.657283782958984,-6.345645904541016
